cd,name,lat,lng,type
1110914,上野幌,43.016177,141.487317,1
1110915,新札幌,43.038732,141.47237,1
1110916,平和,43.04695,141.437967,1
1111003,東追分,42.902377,141.83228,2
1111004,川端,42.914721,141.894791,1
1111005,滝ノ上,42.910244,141.97628,1
1111006,十三里,42.914667,142.024478,2
1111007,新夕張,42.936611,142.03657,2
1111008,沼ノ沢,42.957586,142.030836,2
1111009,南清水沢,42.985272,142.006597,2
1111010,清水沢,42.99827,142.007285,2
1111011,鹿ノ谷,43.039447,141.964476,2
1111012,夕張,43.050926,141.967472,2
1111013,占冠,42.993088,142.400078,1
1111014,トマム,43.055913,142.610937,1
1111102,勇払,42.632805,141.727667,1
1111103,浜厚真,42.606725,141.837071,1
1111104,浜田浦,42.590722,141.88362,1
1111105,鵡川,42.578953,141.923892,1
1111106,汐見,42.550235,141.945255,1
1111107,富川,42.516865,142.020855,1
1111108,日高門別,42.481237,142.072692,1
1111109,豊郷,42.470119,142.122493,1
1111110,清畠,42.455709,142.176624,1
1111111,厚賀,42.430507,142.215896,1
1111112,大狩部,42.395695,142.259355,1
1111113,節婦,42.38248,142.275541,1
1111114,新冠,42.360667,142.312585,1
1111115,静内,42.336559,142.360402,1
1111117,東静内,42.304416,142.450485,1
1111118,春立,42.268515,142.498943,1
1111119,日高東別,42.280837,142.521371,1
1111120,日高三石,42.247269,142.566859,1
1111121,蓬栄,42.264636,142.604517,1
1111122,本桐,42.248205,142.630455,1
1111123,荻伏,42.206136,142.689432,1
1111124,絵笛,42.198428,142.736134,1
1111125,浦河,42.168366,142.769976,1
1111126,東町,42.156037,142.788931,1
1111127,日高幌別,42.142338,142.834519,1
1111128,鵜苫,42.134449,142.882513,1
1111129,西様似,42.138411,142.908737,1
1111130,様似,42.127936,142.93596,1
1111203,八軒,43.085845,141.319145,1
1111204,新川,43.098604,141.323824,1
1111205,新琴似,43.112928,141.335105,1
1111206,太平,43.12401,141.349526,1
1111207,百合が原,43.131476,141.360672,1
1111208,篠路,43.145152,141.364323,1
1111209,拓北,43.155568,141.381013,1
1111210,あいの里教育大,43.15528,141.39842,1
1111211,あいの里公園,43.161206,141.413276,1
1111212,石狩太美,43.189801,141.449066,1
1111213,石狩当別,43.22208,141.513764,1
1111214,北海道医療大学,43.230925,141.54995,1
1111215,石狩金沢,43.245385,141.569239,2
1111216,本中小屋,43.28019,141.591661,2
1111217,中小屋,43.306846,141.602341,2
1111218,月ケ岡,43.324867,141.61807,2
1111219,知来乙,43.331545,141.649123,2
1111220,石狩月形,43.340869,141.670193,2
1111221,豊ケ岡,43.366645,141.714026,2
1111222,札比内,43.370926,141.742762,2
1111223,晩生内,43.399921,141.779211,2
1111224,札的,43.419153,141.803549,2
1111225,浦臼,43.430964,141.817376,2
1111226,鶴沼,43.457673,141.840637,2
1111227,於札内,43.473424,141.840102,2
1111228,南下徳富,43.485542,141.844454,2
1111229,下徳富,43.50271,141.855574,2
1111230,新十津川,43.545575,141.874172,2
1111302,北一已,43.742021,142.014721,1
1111303,秩父別,43.769099,141.967757,1
1111304,北秩父別,43.789375,141.960915,1
1111305,石狩沼田,43.810032,141.934266,1
1111306,真布,43.832965,141.906756,1
1111307,恵比島,43.851296,141.88144,1
1111308,峠下,43.850789,141.818879,1
1111309,幌糠,43.855521,141.758418,1
1111310,藤山,43.88708,141.720588,1
1111311,大和田,43.913418,141.696528,1
1111312,留萌,43.942848,141.651433,1
1111313,瀬越,43.934987,141.634535,2
1111315,礼受,43.904871,141.611358,2
1111316,阿分,43.894339,141.605598,2
1111317,信砂,43.874479,141.589039,2
1111318,舎熊,43.869113,141.580068,2
1111319,朱文別,43.860678,141.564328,2
1111320,箸別,43.859125,141.55164,2
1111321,増毛,43.856522,141.527559,2
1111402,神楽岡,43.745033,142.358257,1
1111403,緑が丘,43.731074,142.365701,1
1111404,西御料,43.720834,142.371507,1
1111405,西瑞穂,43.70242,142.381982,1
1111406,西神楽,43.682181,142.393677,1
1111407,西聖和,43.669047,142.415209,1
1111408,千代ケ岡,43.643737,142.451024,1
1111409,北美瑛,43.617884,142.479594,1
1111410,美瑛,43.591186,142.461639,1
1111411,美馬牛,43.537408,142.447192,1
1111412,上富良野,43.464046,142.468761,1
1111413,西中,43.429569,142.441876,1
1111414,ラベンダー畑,43.42065,142.434032,1
1111415,中富良野,43.405704,142.420812,1
1111416,鹿討,43.387499,142.404812,1
1111417,学田,43.366234,142.386118,1
1111502,旭川四条,43.764056,142.375815,1
1111503,新旭川,43.780174,142.384789,1
1111504,永山,43.814158,142.434382,1
1111505,北永山,43.826736,142.454493,1
1111506,南比布,43.853342,142.467271,2
1111507,比布,43.874478,142.471294,1
1111508,北比布,43.901728,142.476545,2
1111509,蘭留,43.925072,142.473699,1
1111510,塩狩,43.96794,142.4552,1
1111511,和寒,44.026932,142.415309,1
1111512,東六線,44.068723,142.388073,2
1111513,剣淵,44.09643,142.364754,1
1111514,北剣淵,44.139423,142.377955,2
1111515,士別,44.172536,142.388247,1
1111516,下士別,44.210583,142.396405,2
1111517,多寄,44.241296,142.396315,1
1111518,瑞穂,44.266349,142.396244,1
1111519,風連,44.292238,142.421624,1
1111520,東風連,44.316748,142.463087,1
1111521,名寄,44.349403,142.465207,1
1111522,日進,44.381713,142.467354,1
1111523,北星,44.441569,142.428116,2
1111524,智恵文,44.455553,142.414772,1
1111525,智北,44.46103,142.394007,1
1111526,南美深,44.462604,142.367822,2
1111527,美深,44.482951,142.350597,1
1111528,初野,44.512808,142.336129,1
1111529,紋穂内,44.538761,142.33357,2
1111530,恩根内,44.598486,142.309447,2
1111531,豊清水,44.639503,142.270342,2
1111532,天塩川温泉,44.665041,142.258682,1
1111533,咲来,44.692702,142.267569,1
1111534,音威子府,44.729448,142.259883,1
1111535,筬島,44.738883,142.197777,1
1111536,佐久,44.743986,142.048562,1
1111537,天塩中川,44.81186,142.075335,1
1111538,歌内,44.880493,142.052162,1
1111539,問寒別,44.91233,142.025562,1
1111540,糠南,44.920778,142.000931,1
1111541,雄信内,44.911735,141.935888,1
1111542,安牛,44.949809,141.894187,2
1111543,南幌延,44.965084,141.884892,1
1111544,上幌延,44.985787,141.880905,2
1111545,幌延,45.014503,141.84569,1
1111546,下沼,45.037146,141.758218,1
1111547,豊富,45.104624,141.772088,1
1111548,徳満,45.145838,141.751039,1
1111549,兜沼,45.220236,141.6972,1
1111550,勇知,45.259339,141.685151,1
1111551,抜海,45.316866,141.644576,2
1111552,南稚内,45.398166,141.683026,1
1111553,稚内,45.416995,141.676999,1
1111604,南永山,43.78055,142.40853,1
1111605,東旭川,43.776571,142.441544,1
1111606,北日ノ出,43.781813,142.466127,1
1111607,桜岡,43.801812,142.486968,1
1111608,当麻,43.825477,142.516987,1
1111609,将軍山,43.857455,142.521559,1
1111610,伊香牛,43.876025,142.525227,1
1111611,愛別,43.898635,142.582176,1
1111612,中愛別,43.896216,142.655424,1
1111613,愛山,43.866442,142.680699,1
1111614,安足間,43.852011,142.693868,1
1111615,東雲,43.843693,142.716544,2
1111616,上川,43.848508,142.766895,1
1111617,上白滝,43.876501,143.1444,2
